BY603,Milchwerke Oberfranken West e.G. Zweigbetrieb Lendershausen 
BY604,Bayerische Milchindustrie eG Werk Bad Kissingen
BY607,Molkerei der SOS -Dorfgemeinschaft
BY609,Erbacher GmbH & Co Betriebs KG 
BY611,Brunner
BY625,Frische und Service GmbH 
BY701,Nestlé Deutschland AG Allgäuer Alpenmilch Werk Biessenhofen
BY703,Allgäuland Käsereien GmbH Niederlassung Bad Wörishofen
BY704,Milchwerke Schwaben eG
BY705,Milchwerk Hawangen 
BY706,Karwendel-Werke Franz X. Huber 
BY707,Allgäuland Käsereien GmbH
BY708,Milchverwertung Ostallgäu eG
BY709,Mang-Käsewerk GmbH & Co. KG 
BY710,Allgäuland Käsereien GmbH Betrieb Sonthofen
BY711,Käserei Champignon Hofmeister GmbH & Co.KG 
BY712,Zott GmbH & Co
BY714,Edelweiss-Käsewerke
BY715,J.M. Gabler-Saliter Milchwerke KG 
BY716,Weißenborner Molkerei GmbH
BY717,Allgäuer Emmentaler-Werk Kimratshofen eG
BY718,Molkerei Alois Müller GmbH & Co.
BY721,Zott KG
BY723,Molkerei Heinrich Gropper GmbH & Co. KG 
BY727,Ehrmann AG
BY729,Molkerei Schwaighof Zeising-Billand OHG 
BY735,Albert Reißler
BY737,Sennereigenossenschaft Lehern eG
BY738,Käsereigenossenschaft Weizern eG
BY739,Albert Herz GmbH
BY740,Sennereigenossenschaft Gunzesried eG 
BY741,Landkäserei Herzog 
BY745,Hochland - Reich Summer & Co.
BY748,Gebr. Baldauf & Co.
BY750,Bayernland e.G. 
BY752,Stich Feinkäserei GmbH
BY753,ZOMA Milch und Molke GmbH & Co.
BY754,Sennereigenossenschaft Untermaiselstein Greggenhofen 
BY755,Grünland Allgäuer Käsewerk GmbH
BY756,Gebr. Baldauf & Co. Sennerei Hopfen 
BY757,Gebr. Baldauf & Co. Sennerei Gestratz
BY758,Gebr. Baldauf & Co. Sennerei Grünenbach
BY759,Sennereigenossenschaft Mittelhofen-Rutzhofen e.G.
BY760,Käsereigenossenschaft Bremenried eG
BY761,Allgäuland-Käsereien GmbH
BY762,Bayrische Landesanstalt für Landwirtschaft LVF-Zentrum für Milchwirtschaft und Grünlandbewirts
BY766,Bergkäserei Diepolz
BY770,Sennereigenossenschaft Hüttenberg 
BY771,Albert Herz GmbH
BY772,Allgäuland-Käsereien
